

Results from heasarc_bsc5p: Bright Star Catalog
Coordinate system:  Equatorial
|name   |alt_name  |ra         |dec        |vmag |
|HR 5892|37Eps Ser |15 50 49.01|+04 28 40.1| 3.71|
|HR 7602|60Bet Aql |19 55 18.79|+06 24 24.1| 3.71|
|HR 8130|65Tau Cyg |21 14 47.50|+38 02 44.2| 3.72|
|HR 8079|62Xi  Cyg |21 04 55.90|+43 55 40.1| 3.72|
|HR 2077|33Del Aur |05 59 31.61|+54 17 04.9| 3.72|
|HR 5511|109    Vir|14 46 14.90|+01 53 34.1| 3.72|
|HR 1567|8Pi 5Ori  |04 54 15.10|+02 26 26.2| 3.72|
|HR 6771|72    Oph |18 07 21.00|+09 33 50.0| 3.73|
|HR 3080|          |07 52 13.01|-40 34 32.9| 3.73|
|HR 539 |55Zet Cet |01 51 27.60|-10 20 06.0| 3.73|
|HR 1084|18Eps Eri |03 32 55.80|-09 27 29.9| 3.73|
|HR 1038|2Xi  Tau  |03 27 10.20|+09 43 58.1| 3.74|
|HR 8204|34Zet Cap |21 26 40.01|-22 24 41.0| 3.74|
|HR 8698|73Lam Aqr |22 52 36.89|-07 34 46.9| 3.74|
|HR 3614|          |09 04 09.31|-47 05 52.1| 3.75|
|HR 6095|20Gam Her |16 21 55.20|+19 09 11.2| 3.75|
|HR 1612|8Zet Aur  |05 02 28.70|+41 04 32.9| 3.75|
|HR 6688|32Xi  Dra |17 53 31.70|+56 52 22.1| 3.75|
|HR 8571|27Del Cep |22 29 10.30|+58 24 55.1| 3.75|
|HR 6629|62Gam Oph |17 47 53.59|+02 42 25.9| 3.75|
|HR 8254|Nu  Oct   |21 41 28.49|-77 23 24.0| 3.76|
|HR 1373|61Del1Tau |04 22 56.09|+17 32 33.0| 3.76|
|HR 8430|24Iot Peg |22 07 00.70|+25 20 42.0| 3.76|
|HR 834 |15Eta Per |02 50 41.81|+55 53 44.2| 3.76|
|HR 6229|Eta Ara   |16 49 47.09|-59 02 29.0| 3.76|
|HR 1922|Bet Dor   |05 33 37.49|-62 29 22.9| 3.76|
|HR 7906|9Alp Del  |20 39 38.30|+15 54 42.8| 3.77|
|HR 7217|39Omi Sgr |19 04 40.99|-21 44 30.1| 3.77|
|HR 1135|41Nu  Per |03 45 11.59|+42 34 43.0| 3.77|
|HR 7950|2Eps Aqr  |20 47 40.61|-09 29 44.9| 3.77|
|HR 7328|1Kap Cyg  |19 17 06.19|+53 22 07.0| 3.77|
|HR 8585|7Alp Lac  |22 31 17.50|+50 16 57.0| 3.77|
|HR 3347|Bet Vol   |08 25 44.21|-66 08 12.8| 3.77|
|HR 2736|Gam2Vol   |07 08 44.90|-70 29 56.0| 3.78|
|HR 4257|          |10 53 29.59|-58 51 11.9| 3.78|
|HR 2650|43Zet Gem |07 04 06.50|+20 34 13.1| 3.79|
|HR 2821|60Iot Gem |07 25 43.61|+27 47 53.2| 3.79|
|HR 7735|31    Cyg |20 13 37.90|+46 44 29.0| 3.79|
|HR 7420|10Iot2Cyg |19 29 42.29|+51 43 46.9| 3.79|
|HR 5788|13Del Ser |15 34 48.10|+10 32 15.0| 3.80|
|HR 5789|13Del Ser |15 34 48.10|+10 32 21.1| 3.80|
|HR 4058|41Gam2Leo |10 19 58.61|+19 50 26.2| 3.80|
|HR 941 |27Kap Per |03 09 29.81|+44 51 25.9| 3.80|
|HR 6588|85Iot Her |17 39 27.89|+46 00 23.0| 3.80|
|HR 3888|29Ups UMa |09 50 59.40|+59 02 19.0| 3.80|
|HR 2035|15Del Lep |05 51 19.30|-20 52 45.1| 3.81|
|HR 4094|42Mu  Hya |10 26 05.40|-16 50 11.0| 3.81|
|HR 1931|48Sig Ori |05 38 44.81|-02 36 00.0| 3.81|
|HR 7536|7Del Sge  |19 47 23.30|+18 32 03.1| 3.82|
|HR 1464|52Ups2Eri |04 35 33.00|-30 33 43.9| 3.82|
|HR 3690|38    Lyn |09 18 50.69|+36 48 09.0| 3.82|
|HR 8961|16Lam And |23 37 33.89|+46 27 29.2| 3.82|
|HR 6149|10Lam Oph |16 30 54.79|+01 59 02.0| 3.82|
|HR 4114|          |10 27 52.70|-58 44 21.8| 3.82|
|HR 5470|Alp Aps   |14 47 51.60|-79 02 40.9| 3.83|
|HR 5248|Phi Cen   |13 58 16.30|-42 06 02.9| 3.83|
|HR 6779|103Omi Her|18 07 32.59|+28 45 45.0| 3.83|
|HR 4247|46    LMi |10 53 18.70|+34 12 54.0| 3.83|
|HR 1131|38Omi Per |03 44 19.10|+32 17 17.9| 3.83|
|HR 7582|63Eps Dra |19 48 10.39|+70 16 04.1| 3.83|
|HR 3445|          |08 40 37.61|-46 38 56.0| 3.84|
|HR 1411|77The1Tau |04 28 34.51|+15 57 43.9| 3.84|
|HR 4167|          |10 37 18.10|-48 13 32.9| 3.84|
|HR 6895|109    Her|18 23 41.90|+21 46 10.9| 3.84|
|HR 5849|8Gam CrB  |15 42 44.59|+26 17 44.2| 3.84|
|HR 8518|48Gam Aqr |22 21 39.41|-01 23 13.9| 3.84|
|HR 4434|1Lam Dra  |11 31 24.19|+69 19 52.0| 3.84|
|HR 3571|          |08 55 02.81|-60 38 40.9| 3.84|
|HR 2020|Bet Pic   |05 47 17.11|-51 03 59.0| 3.85|
|HR 4133|47Rho Leo |10 32 48.70|+09 18 24.1| 3.85|
|HR 5933|41Gam Ser |15 56 27.19|+15 39 42.1| 3.85|
|HR 4023|          |10 14 44.21|-42 07 18.8| 3.85|
|HR 2296|Del Col   |06 22 06.79|-33 26 11.0| 3.85|
|HR 2749|28Ome CMa |07 14 48.70|-26 46 22.1| 3.85|
|HR 6973|Alp Sct   |18 35 12.41|-08 14 39.1| 3.85|
|HR 1175|Bet Ret   |03 44 12.00|-64 48 24.8| 3.85|
|HR 6030|Del TrA   |16 15 26.30|-63 41 08.2| 3.85|
|HR 4802|Tau Cen   |12 37 42.19|-48 32 28.0| 3.86|
|HR 1326|Alp Hor   |04 14 00.10|-42 17 39.8| 3.86|
|HR 6695|91The Her |17 56 15.19|+37 15 02.2| 3.86|
|HR 6812|13Mu  Sgr |18 13 45.79|-21 03 32.0| 3.86|
|HR 5249|Ups1Cen   |13 58 40.80|-44 48 13.0| 3.87|
|HR 5646|Kap1Lup   |15 11 56.09|-48 44 16.1| 3.87|
|HR 1862|Eps Col   |05 31 12.70|-35 28 14.2| 3.87|
|HR 1149|20    Tau |03 45 49.61|+24 22 04.1| 3.87|
|HR 963 |Alp For   |03 12 04.30|-28 59 12.8| 3.87|
|HR 269 |37Mu  And |00 56 45.19|+38 29 57.8| 3.87|
|HR 2580|16Omi1CMa |06 54 07.90|-24 11 02.0| 3.87|
|HR 1481|53    Eri |04 38 10.80|-14 18 14.0| 3.87|
|HR 4773|Gam Mus   |12 32 28.01|-72 07 59.2| 3.87|
|HR 4787|5Kap Dra  |12 33 28.99|+69 47 17.9| 3.87|
|HR 25  |Eps Phe   |00 09 24.70|-45 44 51.0| 3.88|
|HR 5089|          |13 31 02.69|-39 24 27.0| 3.88|
|HR 3905|24Mu  Leo |09 52 45.79|+26 00 24.8| 3.88|
|HR 5928|5Rho Sco  |15 56 53.11|-29 12 51.1| 3.88|
|HR 5487|107Mu  Vir|14 43 03.60|-05 39 29.9| 3.88|
|HR 3665|22The Hya |09 14 21.89|+02 18 51.1| 3.88|
|HR 6102|Gam Aps   |16 33 27.00|-78 53 49.9| 3.89|
|HR 7615|21Eta Cyg |19 56 18.41|+35 04 59.9| 3.89|
|HR 6092|22Tau Her |16 19 44.40|+46 18 47.9| 3.89|
|HR 874 |3Eta Eri  |02 56 25.70|-08 53 53.2| 3.89|
|HR 4689|15Eta Vir |12 19 54.41|-00 40 00.8| 3.89|
|HR 4390|Pi  Cen   |11 21 00.41|-54 29 28.0| 3.89|
|HR 8820|Iot Gru   |23 10 21.60|-45 14 48.1| 3.90|
|HR 3314|          |08 25 39.60|-03 54 23.0| 3.90|
|HR 7570|55Eta Aql |19 52 28.39|+01 00 20.2| 3.90|
|HR 4743|Sig Cen   |12 28 02.40|-50 13 50.2| 3.91|
|HR 3487|          |08 46 01.70|-46 02 30.1| 3.91|
|HR 5787|38Gam Lib |15 35 31.61|-14 47 21.8| 3.91|
|HR 3845|35Iot Hya |09 39 51.41|-01 08 34.1| 3.91|
|HR 4337|          |11 08 35.40|-58 58 30.0| 3.91|
|HR 1251|38Nu  Tau |04 03 09.41|+05 59 21.1| 3.91|
|HR 6324|58Eps Her |17 00 17.40|+30 55 35.0| 3.92|
|HR 8131|8Alp Equ  |21 15 49.39|+05 14 52.1| 3.92|
|HR 338 |Zet Phe   |01 08 23.11|-55 14 44.9| 3.92|
|HR 7340|44Rho1Sgr |19 21 40.39|-17 50 49.9| 3.93|
|HR 2970|26Alp Mon |07 41 14.81|-09 33 04.0| 3.93|
|HR 1463|48Nu  Eri |04 36 19.10|-03 21 09.0| 3.93|
|HR 4399|78Iot Leo |11 23 55.49|+10 31 45.1| 3.94|
|HR 3461|47Del Cnc |08 44 41.09|+18 09 15.1| 3.94|
|HR 100 |Kap Phe   |00 26 12.19|-43 40 48.0| 3.94|
|HR 8028|58Nu  Cyg |20 57 10.39|+41 10 01.9| 3.94|
|HR 440 |Del Phe   |01 31 15.10|-49 04 22.1| 3.95|
|HR 8667|47Lam Peg |22 46 31.90|+23 33 56.2| 3.95|
|HR 5883|5Chi Lup  |15 50 57.50|-33 37 37.9| 3.95|
|HR 2429|7Nu 2CMa  |06 36 40.99|-19 15 20.9| 3.95|
|HR 854 |18Tau Per |02 54 15.50|+52 45 45.0| 3.95|
|HR 5055|79Zet UMa |13 23 56.40|+54 55 18.1| 3.95|
|HR 3024|Zet Vol   |07 41 49.20|-72 36 22.0| 3.95|
|HR 4638|Rho Cen   |12 11 39.10|-52 22 07.0| 3.96|
|HR 2120|Eta Col   |05 59 08.81|-42 48 55.1| 3.96|
|HR 1393|43    Eri |04 24 02.21|-34 01 00.8| 3.96|
|HR 2538|13Kap CMa |06 49 50.50|-32 30 31.0| 3.96|
|HR 2996|3    Pup  |07 43 48.50|-28 57 16.9| 3.96|
|HR 5993|9Ome1Sco  |16 06 48.41|-20 40 09.1| 3.96|
|HR 7590|Eps Pav   |20 00 35.50|-72 54 38.2| 3.96|
|HR 7348|Alp Sgr   |19 23 53.21|-40 36 58.0| 3.97|
|HR 8556|Del1Gru   |22 29 16.20|-43 29 44.2| 3.97|
|HR 3438|Bet Pyx   |08 40 06.19|-35 18 29.9| 3.97|
|HR 3579|          |09 00 38.40|+41 46 58.1| 3.97|
|HR 2012|32Nu  Aur |05 51 29.40|+39 08 55.0| 3.97|
|HR 8892|98    Aqr |23 22 58.20|-20 06 02.2| 3.97|
|HR 3663|          |09 11 16.61|-62 19 01.9| 3.97|
|HR 6714|67    Oph |18 00 38.71|+02 55 54.1| 3.97|
|HR 7751|32    Cyg |20 15 28.30|+47 42 51.8| 3.98|
|HR 2227|5Gam Mon  |06 14 51.31|-06 16 28.9| 3.98|
|HR 580 |50    Cas |02 03 26.09|+72 25 17.0| 3.98|
|HR 2803|Del Vol   |07 16 49.80|-67 57 25.9| 3.98|
|HR 8848|Gam Tuc   |23 17 25.80|-58 14 08.9| 3.99|
|HR 868 |          |02 53 52.90|-49 53 25.1| 4.00|
|HR 5471|          |14 41 57.60|-37 47 37.0| 4.00|
|HR 585 |59Ups Cet |02 00 00.29|-21 04 40.1| 4.00|
|HR 4102|          |10 24 23.71|-74 01 54.1| 4.00|
|HR 3615|Alp Vol   |09 02 26.81|-66 23 46.0| 4.00|
